Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Cost of an energy sufficient diet in PPP dollars [CoCA_PPP],Cost of a nutrient adequate diet in PPP dollars [CoNA_PPP],Cost of a healthy diet in PPP dollars [CoHD_PPP],Cost of fruits in PPP dollars [CoHD_f_PPP],Cost of vegetables in PPP dollars [CoHD_v_PPP],Cost of starchy staples in PPP dollars [CoHD_ss_PPP],Cost of animal source foods in PPP dollars [CoHD_asf_PPP],"Cost of legumes, nuts and seeds in PPP dollars [CoHD_lns_PPP]",Cost of fats and oils in PPP dollars [CoHD_of_PPP],Cost of an energy sufficient diet in local currency unit [CoCA_LCU],Cost of a nutrient adequate diet in local currency unit [CoNA_LCU],Cost of a healthy diet in local currency unit [CoHD_LCU],Cost of fruits in local currency unit [CoHD_f_LCU],Cost of vegetables in local currency unit [CoHD_v_LCU],Cost of starchy staples in local currency unit [CoHD_ss_LCU],Cost of animal source foods in local currency unit [CoHD_asf_LCU],"Cost of legumes, nuts and seeds in local currency unit [CoHD_lns_LCU]",Cost of fats and oils in local currency unit [CoHD_of_LCU],Cost of a healthy diet relative to the cost of sufficient energy from starchy staples [CoHD_CoCA],Cost share for fruits in a least-cost healthy diet [CoHD_f_prop],Cost share for vegetables in a least-cost healthy diet [CoHD_v_prop],Cost share for starchy staples in a least-cost healthy diet [CoHD_ss_prop],Cost share for animal-sourced foods in a least-cost healthy diet [CoHD_asf_prop],"Cost share for legumes, nuts and seeds in a least-cost healthy diet [CoHD_lns_prop]",Cost share for oils and fats in a least-cost healthy diet [CoHD_of_prop],Cost of fruits relative to the starchy staples in a least-cost healthy diet [CoHD_f_ss],Cost of vegetables relative to the starchy staples in a least-cost healthy diet [CoHD_v_ss],Cost of animal-sourced foods relative to the starchy staples in a least-cost healthy diet [CoHD_asf_ss],"Cost of legumes, nuts and seeds relative to the starchy staples in a least-cost healthy diet [CoHD_lns_ss]",Cost of oils and fats relative to the starchy staples in a least-cost healthy diet [CoHD_of_ss],Affordability of an energy sufficient diet: ratio of cost to the food poverty line [CoCA_pov],Affordability of a nutrient adequate diet: ratio of cost to the food poverty line [CoNA_pov],Affordability of a healthy diet: ratio of cost to the food poverty line [CoHD_pov],Affordability of an energy sufficient diet: ratio of cost to food expenditures [CoCA_fexp],Affordability of a nutrient adequate diet: ratio of cost to food expenditures [CoNA_fexp],Affordability of a healthy diet: ratio of cost to food expenditures [CoHD_fexp],Percent of the population who cannot afford sufficient calories [CoCA_headcount],Percent of the population who cannot afford nutrient adequacy [CoNA_headcount],Percent of the population who cannot afford a healthy diet [CoHD_headcount],Millions of people who cannot afford sufficient calories [CoCA_unafford_n],Millions of people who cannot afford nutrient adequacy [CoNA_unafford_n],Millions of people who cannot afford a healthy diet [CoHD_unafford_n],Population [Pop]
Food Prices for Nutrition 4.0,FPN 4.0,Chad,TCD,2020,YR2020,..,..,2.95,..,..,..,..,..,..,..,..,667.78,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.19,..,..,..,..,..,60.4,..,..,10.4,17224679
Food Prices for Nutrition 4.0,FPN 4.0,Chad,TCD,2021,YR2021,0.99,2.35,3.04,0.27,0.43,0.82,0.97,0.37,0.19,212.89,506.21,657.09,58.96,92.64,176.04,209.08,79.51,40.86,3.09,0.09,0.14,0.27,0.32,0.12,0.06,0.33,0.53,1.19,0.45,0.23,0.73,1.74,2.25,0.5,1.19,1.54,17.5,46.1,60.2,3.1,8.2,10.7,17828273
Food Prices for Nutrition 4.0,FPN 4.0,Chad,TCD,2022,YR2022,..,..,3.49,..,..,..,..,..,..,..,..,737.71,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.58,..,..,..,..,..,61.9,..,..,11.4,18455316
Food Prices for Nutrition 4.0,FPN 4.0,Chad,TCD,2023,YR2023,..,..,3.77,..,..,..,..,..,..,..,..,848.27,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.79,..,..,..,..,..,63.4,..,..,12.2,19319064
Food Prices for Nutrition 4.0,FPN 4.0,Chad,TCD,2024,YR2024,..,..,3.95,..,..,..,..,..,..,..,..,939.19,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.92,..,..,..,..,..,64.1,..,..,13,20299123
Food Prices for Nutrition 4.0,FPN 4.0,Chile,CHL,2017,YR2017,..,..,3.38,..,..,..,..,..,..,..,..,1564.79,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.3,..,..,..,..,..,48.1,..,..,8.9,18558868
Food Prices for Nutrition 4.0,FPN 4.0,Chile,CHL,2018,YR2018,..,..,3.52,..,..,..,..,..,..,..,..,1612.56,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.31,..,..,..,..,..,46,..,..,8.7,18893191
Food Prices for Nutrition 4.0,FPN 4.0,Chile,CHL,2019,YR2019,..,..,3.67,..,..,..,..,..,..,..,..,1653.9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.33,..,..,..,..,..,45.7,..,..,8.8,19197744
Food Prices for Nutrition 4.0,FPN 4.0,Chile,CHL,2020,YR2020,..,..,3.79,..,..,..,..,..,..,..,..,1765.16,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.34,..,..,..,..,..,50,..,..,9.7,19370624
Food Prices for Nutrition 4.0,FPN 4.0,Chile,CHL,2021,YR2021,0.65,3.46,3.87,0.75,1.05,0.58,0.8,0.41,0.27,314.32,1664.05,1860.67,359.05,506.47,281.47,386.85,197.34,129.51,5.92,0.19,0.27,0.15,0.21,0.11,0.07,1.28,1.8,1.37,0.7,0.46,0.06,0.31,0.35,0.09,0.47,0.53,31.5,41.4,42.6,6.1,8,8.3,19456334
Food Prices for Nutrition 4.0,FPN 4.0,Chile,CHL,2022,YR2022,..,..,4.43,..,..,..,..,..,..,..,..,2186.24,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.4,..,..,..,..,..,40.2,..,..,7.9,19553036
Food Prices for Nutrition 4.0,FPN 4.0,Chile,CHL,2023,YR2023,..,..,5.04,..,..,..,..,..,..,..,..,2457.98,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.45,..,..,..,..,..,41.5,..,..,8.2,19658835
Food Prices for Nutrition 4.0,FPN 4.0,Chile,CHL,2024,YR2024,..,..,5.22,..,..,..,..,..,..,..,..,2578.84,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.47,..,..,..,..,..,40.2,..,..,7.9,19764771
Food Prices for Nutrition 4.0,FPN 4.0,China,CHN,2017,YR2017,..,..,2.8,..,..,..,..,..,..,..,..,11.11,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.89,..,..,..,..,..,29.2,..,..,412,1412354727
Food Prices for Nutrition 4.0,FPN 4.0,China,CHN,2018,YR2018,..,..,2.82,..,..,..,..,..,..,..,..,11.33,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.9,..,..,..,..,..,25.3,..,..,358.6,1419008956
Food Prices for Nutrition 4.0,FPN 4.0,China,CHN,2019,YR2019,..,..,3,..,..,..,..,..,..,..,..,12.14,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.95,..,..,..,..,..,22.9,..,..,325.9,1423520357
Food Prices for Nutrition 4.0,FPN 4.0,China,CHN,2020,YR2020,..,..,3.25,..,..,..,..,..,..,..,..,13.13,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.03,..,..,..,..,..,24.3,..,..,346.4,1426106093
Food Prices for Nutrition 4.0,FPN 4.0,China,CHN,2021,YR2021,0.88,2.02,3.13,0.74,0.6,0.46,0.91,0.3,0.13,3.53,8.12,12.57,2.96,2.4,1.83,3.65,1.2,0.54,3.56,0.23,0.19,0.14,0.29,0.1,0.04,1.62,1.31,2,0.65,0.29,0.28,0.64,0.99,0.23,0.53,0.82,2.9,9,15.5,41.8,128.8,221.4,1426437267
Food Prices for Nutrition 4.0,FPN 4.0,China,CHN,2022,YR2022,..,..,3.41,..,..,..,..,..,..,..,..,12.91,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.08,..,..,..,..,..,15.4,..,..,220.1,1425179569
Food Prices for Nutrition 4.0,FPN 4.0,China,CHN,2023,YR2023,..,..,3.53,..,..,..,..,..,..,..,..,12.86,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.12,..,..,..,..,..,13.8,..,..,196,1422584933
Food Prices for Nutrition 4.0,FPN 4.0,China,CHN,2024,YR2024,..,..,3.6,..,..,..,..,..,..,..,..,12.78,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.14,..,..,..,..,..,12.2,..,..,173.4,1419321278
Food Prices for Nutrition 4.0,FPN 4.0,Colombia,COL,2017,YR2017,..,..,2.84,..,..,..,..,..,..,..,..,4173.22,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.9,..,..,..,..,..,31.7,..,..,15.3,48131078
Food Prices for Nutrition 4.0,FPN 4.0,Colombia,COL,2018,YR2018,..,..,2.87,..,..,..,..,..,..,..,..,4207.9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.91,..,..,..,..,..,31.4,..,..,15.4,49024465
Food Prices for Nutrition 4.0,FPN 4.0,Colombia,COL,2019,YR2019,..,..,2.95,..,..,..,..,..,..,..,..,4412.74,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.94,..,..,..,..,..,32.6,..,..,16.2,49907985
Food Prices for Nutrition 4.0,FPN 4.0,Colombia,COL,2020,YR2020,..,..,3.15,..,..,..,..,..,..,..,..,4657.86,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,..,..,..,..,..,40.6,..,..,20.6,50629997
Food Prices for Nutrition 4.0,FPN 4.0,Colombia,COL,2021,YR2021,1.06,2.69,3.3,0.53,0.8,0.56,0.87,0.3,0.23,1646.29,4159.53,5106.12,823.48,1242.88,872.44,1349.02,466.61,351.68,3.1,0.16,0.24,0.17,0.26,0.09,0.07,0.94,1.43,1.55,0.54,0.4,0.34,0.85,1.05,0.18,0.45,0.55,23.7,34.5,38.3,12.1,17.7,19.6,51188173
Food Prices for Nutrition 4.0,FPN 4.0,Colombia,COL,2022,YR2022,..,..,4.06,..,..,..,..,..,..,..,..,6376.21,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.29,..,..,..,..,..,36.7,..,..,19,51737944
Food Prices for Nutrition 4.0,FPN 4.0,Colombia,COL,2023,YR2023,..,..,4.69,..,..,..,..,..,..,..,..,7329.32,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.49,..,..,..,..,..,37.2,..,..,19.4,52321152
Food Prices for Nutrition 4.0,FPN 4.0,Colombia,COL,2024,YR2024,..,..,4.67,..,..,..,..,..,..,..,..,7561,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.48,..,..,..,..,..,36.1,..,..,19.1,52886363
Food Prices for Nutrition 4.0,FPN 4.0,Comoros,COM,2017,YR2017,..,..,4.61,..,..,..,..,..,..,..,..,972.39,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.26,..,..,..,..,..,63.9,..,..,0.5,756669
Food Prices for Nutrition 4.0,FPN 4.0,Comoros,COM,2018,YR2018,..,..,4.55,..,..,..,..,..,..,..,..,996.34,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.23,..,..,..,..,..,63.6,..,..,0.5,771590
Food Prices for Nutrition 4.0,FPN 4.0,Comoros,COM,2019,YR2019,..,..,4.54,..,..,..,..,..,..,..,..,1044.69,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.22,..,..,..,..,..,63.9,..,..,0.5,786578
Food Prices for Nutrition 4.0,FPN 4.0,Comoros,COM,2020,YR2020,..,..,4.49,..,..,..,..,..,..,..,..,1048.84,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.2,..,..,..,..,..,64.2,..,..,0.5,802163
Food Prices for Nutrition 4.0,FPN 4.0,Comoros,COM,2021,YR2021,1.42,3.05,4.48,0.47,1.15,0.84,1.39,0.41,0.21,323.61,696.03,1021.07,107.55,261,192.56,317.52,93.66,48.77,3.16,0.11,0.26,0.19,0.31,0.09,0.05,0.56,1.36,1.65,0.49,0.25,0.7,1.5,2.19,0.32,0.68,1,31.5,53.1,63.7,0.3,0.4,0.5,818174
Food Prices for Nutrition 4.0,FPN 4.0,Comoros,COM,2022,YR2022,..,..,4.75,..,..,..,..,..,..,..,..,1039.78,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.33,..,..,..,..,..,63.5,..,..,0.5,834188
Food Prices for Nutrition 4.0,FPN 4.0,Comoros,COM,2023,YR2023,..,..,4.93,..,..,..,..,..,..,..,..,1058.48,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.42,..,..,..,..,..,63.5,..,..,0.5,850387
Food Prices for Nutrition 4.0,FPN 4.0,Comoros,COM,2024,YR2024,..,..,5.14,..,..,..,..,..,..,..,..,1077.18,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.52,..,..,..,..,..,62.9,..,..,0.5,866628
Food Prices for Nutrition 4.0,FPN 4.0,"Congo, Dem. Rep.",COD,2017,YR2017,..,..,4.27,..,..,..,..,..,..,..,..,2710.85,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.17,..,..,..,..,..,94.8,..,..,82.5,87083398
Food Prices for Nutrition 4.0,FPN 4.0,"Congo, Dem. Rep.",COD,2018,YR2018,..,..,3.47,..,..,..,..,..,..,..,..,2757.96,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.57,..,..,..,..,..,92.4,..,..,83.2,90047644
Food Prices for Nutrition 4.0,FPN 4.0,"Congo, Dem. Rep.",COD,2019,YR2019,..,..,3.45,..,..,..,..,..,..,..,..,2800.59,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.55,..,..,..,..,..,91.6,..,..,85.1,92947442
Food Prices for Nutrition 4.0,FPN 4.0,"Congo, Dem. Rep.",COD,2020,YR2020,..,..,3.21,..,..,..,..,..,..,..,..,2843.21,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.38,..,..,..,..,..,92.2,..,..,88.5,95989998
Food Prices for Nutrition 4.0,FPN 4.0,"Congo, Dem. Rep.",COD,2021,YR2021,0.66,1.89,3.11,0.28,0.3,0.55,1.61,0.25,0.12,612.72,1751.75,2885.83,255.14,280.7,506.62,1494.93,234.47,113.98,4.71,0.09,0.1,0.18,0.52,0.08,0.04,0.5,0.55,2.95,0.46,0.23,0.49,1.4,2.3,0.66,1.88,3.1,58,83.1,91.5,57.5,82.4,90.7,99148932
Food Prices for Nutrition 4.0,FPN 4.0,"Congo, Dem. Rep.",COD,2022,YR2022,..,..,3.38,..,..,..,..,..,..,..,..,2928.45,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.5,..,..,..,..,..,90.3,..,..,92.4,102396968
Food Prices for Nutrition 4.0,FPN 4.0,"Congo, Dem. Rep.",COD,2023,YR2023,..,..,3.55,..,..,..,..,..,..,..,..,2971.08,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.63,..,..,..,..,..,89.6,..,..,94.8,105789731
Food Prices for Nutrition 4.0,FPN 4.0,"Congo, Dem. Rep.",COD,2024,YR2024,..,..,3.46,..,..,..,..,..,..,..,..,3013.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.56,..,..,..,..,..,89.1,..,..,97.3,109276265
Food Prices for Nutrition 4.0,FPN 4.0,"Congo, Rep.",COG,2017,YR2017,..,..,3.04,..,..,..,..,..,..,..,..,862.59,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.49,..,..,..,..,..,74.3,..,..,4,5351011
Food Prices for Nutrition 4.0,FPN 4.0,"Congo, Rep.",COG,2018,YR2018,..,..,3.16,..,..,..,..,..,..,..,..,862.59,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.55,..,..,..,..,..,75.5,..,..,4.1,5483118
Food Prices for Nutrition 4.0,FPN 4.0,"Congo, Rep.",COG,2019,YR2019,..,..,3.24,..,..,..,..,..,..,..,..,860.68,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.59,..,..,..,..,..,74.9,..,..,4.2,5616661
Food Prices for Nutrition 4.0,FPN 4.0,"Congo, Rep.",COG,2020,YR2020,..,..,3.43,..,..,..,..,..,..,..,..,879.72,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.68,..,..,..,..,..,77.8,..,..,4.5,5752791
Food Prices for Nutrition 4.0,FPN 4.0,"Congo, Rep.",COG,2021,YR2021,1.31,2.97,3.74,0.41,0.77,0.68,1.23,0.51,0.13,317.77,720.57,906.04,98.59,187.45,165.15,298.47,123.83,32.54,2.85,0.11,0.21,0.18,0.33,0.14,0.04,0.6,1.13,1.81,0.75,0.2,0.64,1.46,1.83,0.5,1.14,1.44,55.6,73.1,78.4,3.3,4.3,4.6,5892183
Food Prices for Nutrition 4.0,FPN 4.0,"Congo, Rep.",COG,2022,YR2022,..,..,4.16,..,..,..,..,..,..,..,..,962.2,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.04,..,..,..,..,..,79.2,..,..,4.8,6035104
Food Prices for Nutrition 4.0,FPN 4.0,"Congo, Rep.",COG,2023,YR2023,..,..,4.33,..,..,..,..,..,..,..,..,1003.35,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.12,..,..,..,..,..,78.8,..,..,4.9,6182885
Food Prices for Nutrition 4.0,FPN 4.0,"Congo, Rep.",COG,2024,YR2024,..,..,4.43,..,..,..,..,..,..,..,..,1021.97,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.17,..,..,..,..,..,78.4,..,..,5,6332961
Food Prices for Nutrition 4.0,FPN 4.0,Costa Rica,CRI,2017,YR2017,..,..,3.54,..,..,..,..,..,..,..,..,1278.51,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.12,..,..,..,..,..,14.3,..,..,0.7,4913177
Food Prices for Nutrition 4.0,FPN 4.0,Costa Rica,CRI,2018,YR2018,..,..,3.58,..,..,..,..,..,..,..,..,1299.42,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.14,..,..,..,..,..,15.3,..,..,0.8,4957818
Food Prices for Nutrition 4.0,FPN 4.0,Costa Rica,CRI,2019,YR2019,..,..,3.67,..,..,..,..,..,..,..,..,1309.74,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.17,..,..,..,..,..,15,..,..,0.7,4999553
Food Prices for Nutrition 4.0,FPN 4.0,Costa Rica,CRI,2020,YR2020,..,..,3.56,..,..,..,..,..,..,..,..,1316.02,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.13,..,..,..,..,..,21.5,..,..,1.1,5034320
Food Prices for Nutrition 4.0,FPN 4.0,Costa Rica,CRI,2021,YR2021,1.1,2.84,3.7,0.58,0.86,0.75,0.96,0.44,0.13,400.65,1031.74,1345.34,209.41,311.25,271.86,346.96,157.98,47.88,3.36,0.16,0.23,0.2,0.26,0.12,0.04,0.77,1.15,1.28,0.58,0.18,0.35,0.9,1.18,0.17,0.44,0.58,6.5,12.3,16.1,0.3,0.6,0.8,5059988
Food Prices for Nutrition 4.0,FPN 4.0,Costa Rica,CRI,2022,YR2022,..,..,4.13,..,..,..,..,..,..,..,..,1551.43,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.31,..,..,..,..,..,16.4,..,..,0.8,5081765
Food Prices for Nutrition 4.0,FPN 4.0,Costa Rica,CRI,2023,YR2023,..,..,4.52,..,..,..,..,..,..,..,..,1606.23,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.44,..,..,..,..,..,15.2,..,..,0.8,5105525
Food Prices for Nutrition 4.0,FPN 4.0,Costa Rica,CRI,2024,YR2024,..,..,4.62,..,..,..,..,..,..,..,..,1587.62,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.47,..,..,..,..,..,14.2,..,..,0.7,5129910
Food Prices for Nutrition 4.0,FPN 4.0,Cote d'Ivoire,CIV,2017,YR2017,..,..,2.66,..,..,..,..,..,..,..,..,644.34,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.3,..,..,..,..,..,56.2,..,..,15,26733372
Food Prices for Nutrition 4.0,FPN 4.0,Cote d'Ivoire,CIV,2018,YR2018,..,..,2.69,..,..,..,..,..,..,..,..,641.32,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.32,..,..,..,..,..,51.9,..,..,14.3,27464173
Food Prices for Nutrition 4.0,FPN 4.0,Cote d'Ivoire,CIV,2019,YR2019,..,..,2.66,..,..,..,..,..,..,..,..,618.3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.31,..,..,..,..,..,47.4,..,..,13.4,28193009
Food Prices for Nutrition 4.0,FPN 4.0,Cote d'Ivoire,CIV,2020,YR2020,..,..,2.73,..,..,..,..,..,..,..,..,644.19,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.34,..,..,..,..,..,49.7,..,..,14.4,28915449
Food Prices for Nutrition 4.0,FPN 4.0,Cote d'Ivoire,CIV,2021,YR2021,1.22,1.66,2.91,0.27,0.32,0.61,1.37,0.16,0.18,289.99,396.43,693.49,64.26,75.14,146.48,326.09,38.86,42.67,2.39,0.09,0.11,0.21,0.47,0.06,0.06,0.44,0.51,2.23,0.27,0.29,0.6,0.82,1.43,0.28,0.38,0.66,21.7,29.5,50.3,6.4,8.8,14.9,29639736
Food Prices for Nutrition 4.0,FPN 4.0,Cote d'Ivoire,CIV,2022,YR2022,..,..,3.25,..,..,..,..,..,..,..,..,754.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.59,..,..,..,..,..,50.8,..,..,15.4,30395002
Food Prices for Nutrition 4.0,FPN 4.0,Cote d'Ivoire,CIV,2023,YR2023,..,..,3.45,..,..,..,..,..,..,..,..,804.08,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.69,..,..,..,..,..,49.7,..,..,15.5,31165654
Food Prices for Nutrition 4.0,FPN 4.0,Cote d'Ivoire,CIV,2024,YR2024,..,..,3.59,..,..,..,..,..,..,..,..,839.9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.76,..,..,..,..,..,48.4,..,..,15.5,31934230
Food Prices for Nutrition 4.0,FPN 4.0,Croatia,HRV,2017,YR2017,..,..,3.31,..,..,..,..,..,..,..,..,1.71,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.3,..,..,..,..,..,27.9,..,..,1.1,4079200
Food Prices for Nutrition 4.0,FPN 4.0,Croatia,HRV,2018,YR2018,..,..,3.36,..,..,..,..,..,..,..,..,1.72,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.3,..,..,..,..,..,23.3,..,..,0.9,4024868
Food Prices for Nutrition 4.0,FPN 4.0,Croatia,HRV,2019,YR2019,..,..,3.44,..,..,..,..,..,..,..,..,1.72,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.31,..,..,..,..,..,19,..,..,0.8,3986334
Food Prices for Nutrition 4.0,FPN 4.0,Croatia,HRV,2020,YR2020,..,..,3.53,..,..,..,..,..,..,..,..,1.75,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.32,..,..,..,..,..,18.7,..,..,0.7,3953958
Food Prices for Nutrition 4.0,FPN 4.0,Croatia,HRV,2021,YR2021,0.84,2.42,3.71,0.76,0.88,0.57,1.05,0.35,0.09,0.4,1.16,1.78,0.37,0.42,0.28,0.51,0.17,0.05,4.43,0.21,0.24,0.16,0.28,0.09,0.03,1.32,1.54,1.84,0.6,0.16,0.08,0.22,0.33,0.09,0.25,0.39,10,12.9,15.4,0.4,0.5,0.6,3924610
Food Prices for Nutrition 4.0,FPN 4.0,Croatia,HRV,2022,YR2022,..,..,4.21,..,..,..,..,..,..,..,..,2.06,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.38,..,..,..,..,..,13.3,..,..,0.5,3907027
Food Prices for Nutrition 4.0,FPN 4.0,Croatia,HRV,2023,YR2023,..,..,4.53,..,..,..,..,..,..,..,..,2.33,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.4,..,..,..,..,..,12.6,..,..,0.5,3896023
Food Prices for Nutrition 4.0,FPN 4.0,Croatia,HRV,2024,YR2024,..,..,4.7,..,..,..,..,..,..,..,..,2.42,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.42,..,..,..,..,..,11.3,..,..,0.4,3875325
Food Prices for Nutrition 4.0,FPN 4.0,Curacao,CUW,2017,YR2017,..,..,2.95,..,..,..,..,..,..,..,..,4.47,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.26,..,..,..,..,..,..,..,..,..,168516
Food Prices for Nutrition 4.0,FPN 4.0,Curacao,CUW,2018,YR2018,..,..,3.13,..,..,..,..,..,..,..,..,4.67,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.28,..,..,..,..,..,..,..,..,..,181583
Food Prices for Nutrition 4.0,FPN 4.0,Curacao,CUW,2019,YR2019,..,..,3.35,..,..,..,..,..,..,..,..,4.95,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.3,..,..,..,..,..,..,..,..,..,189543
Food Prices for Nutrition 4.0,FPN 4.0,Curacao,CUW,2020,YR2020,..,..,3.65,..,..,..,..,..,..,..,..,5.27,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.33,..,..,..,..,..,..,..,..,..,185018
Food Prices for Nutrition 4.0,FPN 4.0,Curacao,CUW,2021,YR2021,1.32,2.89,4,1,0.97,0.69,0.78,0.4,0.16,1.85,4.07,5.64,1.41,1.36,0.97,1.1,0.57,0.23,3.04,0.25,0.24,0.17,0.2,0.1,0.04,1.45,1.4,1.13,0.59,0.23,0.12,0.26,0.36,0.23,0.5,0.7,..,..,..,..,..,..,185315
Food Prices for Nutrition 4.0,FPN 4.0,Curacao,CUW,2022,YR2022,..,..,4.44,..,..,..,..,..,..,..,..,6.29,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.4,..,..,..,..,..,..,..,..,..,185345
Food Prices for Nutrition 4.0,FPN 4.0,Curacao,CUW,2023,YR2023,..,..,5.01,..,..,..,..,..,..,..,..,7.17,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.45,..,..,..,..,..,..,..,..,..,185427
